"numer";"Funkcja / zadanie / podzadanie
";"Dysponent
";"Część
";"Cel
";"Miernik
";;;"Przewidywane wydatki w 2012 r. (w tys. zł)
";"nation";"eu"
"11.3";"11.3. Wsparcie wywiadowcze i ochrona kontrwywiadowcza
";"Ministerstwo Obrony Narodowej
";29;"Rozpoznanie zagroŜeń godzących w bezpieczeństwo państwa oraz zdolność bojową SZ RP
";"Przyjęcie sprawozdań z działalności SWW i SKW
przez organ nadrzędny
";"przyjęcie sprawozdań
";"przyjęcie sprawozdań
";"282 295
";"282 295
";0
"11.3";;"Agencja Wywiadu
";59;"Rozpoznanie zagroŜeń godzących w bezpieczeństwo państwa oraz zdolność bojową SZ RP
";"Zdolność struktur administracyjno-gospodarczych do zapewnienia bezpieczeństwa zewnętznego państwa (tak/nie)
";"tak
";"tak
";"148 671
";"148 671
";0
"11.3.1";"11.3.1. Wsparcie wywiadowcze
";"Ministerstwo Obrony Narodowej
";29;"Rozpoznanie zagroŜeń zewnętrznych godzących w bezpieczeństwo państwa oraz zdolność bojowa SZ RP
";"Przyjęcie sprawozdania z działalności SWW przez organ nadrzędny
";"przyjęcie sprawozdania
";"przyjęcie sprawozdania
";"120 053
";"120 053
";0
"11.3.1";;"Agencja Wywiadu
";59;"Rozpoznanie zagroŜeń godzących w bezpieczeństwo państwa.
";"Zdolność struktur administracyjno-gospodarczych do zapewnienia bezpieczeństwa zewnętrznego państwa (tak/nie)
";"tak
";"tak
";"148 671
";"148 671
";0
"11.3.2";"11.3.2. Ochrona kontrwywiadowcza
";"Ministerstwo Obrony Narodowej
";29;"Ochrona przed zagroŜeniami wewnętrznymi dla obronności państwa i zdolności bojowej Sił Zbrojnych RP
";"Przyjęcie sprawozdania z działalności SKW przez organ nadrzędny
";"przyjęcie sprawozdania
";"przyjęcie sprawozdania
";"162 242
";"162 242
";0
"11.4";"11.4. Realizacja zobowiązań sojuszniczych i międzynarodowych oraz uczestnictwo w działaniach na rzecz pokoju i stabilizacji międzynarodowej
";"Ministerstwo Obrony Narodowej
";29;"Wzmacnianie pozycji Polski na arenie międzynarodowej
";"Średnioroczna liczba Ŝołnierzy skierowanych do PKW w stosunku do poziomu ambicji narodowych (``Strategia udziału SZ RP w operacjach poza granicami kraju``)
";90;93;"895 461
";"895 461
";0
"11.4";;;29;;"Liczba stanowisk flagowych w stosunku do wszystkich stanowisk w strukturach NATO i UE
";"8/391
";"11/391
";;;
"11.4.1";"11.4.1. Misje i operacje NATO, UE oraz koalicyjne
";"Ministerstwo Obrony Narodowej
";29;"Wypełnianie zobowiązań sojuszniczych i uczestnictwo w działaniach na rzecz pokoju i stabilizacji międzynarodowej
";"Średnioroczna liczba Ŝołnierzy skierowanych do PKW w stosunku do poziomu ambicji narodowych (``Strategia udziału SZ RP w operacjach poza granicami kraju``)
";90;93;"568 155
";"568 155
";0
"11.4.2";"11.4.2. Międzynarodowa współpraca bilateralna i współpraca w strukturach wielostronnych, w tym w ramach NATO i UE
";"Ministerstwo Obrony Narodowej
";29;"Wzmacnianie pozycji RP w organizacjach międzynarodowych i strukturach wielonarodowych
";"Ocena realizacji ``Wytycznych do planowania współpracy międzynarodowej w resorcie obrony narodowej`` (miernik opisowy)
";"-
";"-
";"327 306
";"327 306
";0
"11.5";"11.5. Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa
";"Kancelaria Prezesa Rady
Ministrów
";16;"Stopniowe osiąganie określonego wymogami poziomu organizacyjnego i technicznego systemu kierowania bezpieczeństwem
";"Liczba przedłoŜonych sprawozdań z realizacji załoŜonych celów dla MON
";1;1;23;23;0
"11.5";;"Ministerstwo Infrastruktury
";18;"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Procent realizacji zadań rocznych określonych w
PPPO na lata 2009-2018 (w %)
";"1/1  100%
";"1/1  100%
";324;324;0
"11.5";;"Ministerstwo Gospodarki
";20;"Utrzymywanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Stopień wykonania decyzji na utrzymywanie mocy produkcyjnych i/lub remontowych (liczba wykonanych decyzji o utrzymywaniu mocy produkcyjnych i/lub remontowych/ liczba wydanych decyzji)*100%
";"100%
";"100%
";"88 497
";"88 497
";0
"11.5";;"Ministerstwo Infrastruktury
";21;"Utrzymywanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Procent realizacji zadań rocznych określonych w
PPPO na lata 2009 - 2018 (w %)
";"7/7  100%
";"6/6  100%
";637;637;0
"11.5";;"Ministerstwo Środowiska
";22;"Utrzymanie zdolności sttruktur administracyjno- gospodarczych kraju do realizacji zadań obronnych
";"Liczba zrealizowanych przedsięwzięć
";16;16;"2 533
";"2 533
";0
"11.5";;"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Utrzymanie zdolności realizacji zadań obronnych w dziale administracji rządowej kultura i ochrona dziedzictwa narodowego
";"Liczba zadań zrealizowanych / Liczba zadań zaplanowanych w programie PPO w dziale administracji rządowej kultura i ochrona dziedzictwa narodowego (%)
";100;100;112;112;0
"11.5";;"Ministerstwo Sportu i Turystyki
";25;"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Stosunek pracowników przygotowanych do wykonywania zadań obronnych do wszystkich, którzy powinni być przygotowani
";"85%
";"100%
";77;77;0
"11.5";;"Ministerstwo Infrastruktury
";26;"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Procent realizacji zadań rocznych określonych w
PPPO na lata 2009-2018 (w %)
";"6/7 85,71%
";"7/7   100%
";"1 886
";"1 886
";0
"11.5";;"Ministerstwo Nauki i Szkolnictwa
WyŜszego
";28;"Realizacja przedsięwzięć rzeczowo-finansowych określonych w Programie Pozamilitarnych Przygotowań Obronnych (PPPO) 2009-2018
";"Procent realizacji przedsięwzięć zaplanowanych w Programie Pozamilitarnych Przygotowań Obronnych (PPPO)
";"20%
";"40%
";15;15;0
"11.5";;"Ministerstwo Obrony Narodowej
";29;"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Przyjęcie oceny pozamiiitarnych przygotowań
obronnych RP
";"przyjęcie oceny
";"przyjęcie oceny
";"28 170
";"28 170
";0
"11.5";;"Ministerstwo Edukacji
Narodowej
";30;"Przygotowanie działu administracji rządowej oświata i wychowanie do realizacji zadań na wypadek zagroŜenia bezpieczeństwa państwa i wojny
";"% wskaźnik liczby opracowanych i utrzymywanych w aktualności planów operacyjnych w stosunku do wymaganych normatywnie w danym roku kalendarzowym
";"100%
";"100%
";133;133;0
"11.5";;"Ministerstwo Rolnictwa i
Rozwoju Wsi
";32;"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej  i przedsiębiorców
";"Realizacja liczby zadań realizowanych do liczby zadań zaplanowanych
";"100%
";"100%
";140;140;0
"11.5";;"Ministerstwo Rolnictwa i
Rozwoju Wsi
";33;"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Realizacja zadań zrealizowanych do liczby zadań
zaplanowanych
";"100%
";"100%
";15;15;0
"11.5";;"Ministerstwo Rozwoju
Regionalnego
";34;"Utrzymanie zdolności realizacji zadań obronnych  w ramach cz.34: Rozwój regionalny
";"Relacja liczby  zadań zrealizowanych do liczby zadań zaplanowanych w Programie Pozamilitarnych Przygotowań Obronnych (%)
";"100%
";"100%
";259;259;0
"11.5";;"Ministerstwo Rolnictwa i
Rozwoju Wsi
";35;"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Realizacja liczby zadań realizowanych do liczby zadań zaplanowanych
";"100%
";"100%
";15;15;0
"11.5";;"Ministerstwo Sprawiedliwości
";37;"Utrzymanie zdolności realizacji zadań obronnych przez
Ministerstwo Sprawiedliwości
";"Liczba przeprowadzonych szkoleń
";"-
";6;455;455;0
"11.5";;"Ministerstwo Nauki i Szkolnictwa
WyŜszego
";38;"Realizacja przedsięwzięć rzeczowo-finansowych określonych w Programie Pozamilitarnych Przygotowań Obronnych (PPPO) 2009- 2018
";"Procent realizacji przedsięwzięć zaplanowanych w Programie Pozamilitarnych Przygotowań Obronnych (PPPO)
";"20%
";"40%
";24;24;0
"11.5";;"Ministerstwo Infrastruktury
";39;"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Procent realizacji zadań rocznych określonych w
PPPO na lata 2009-2018 (w %)
";"14/16 87,5%
";"17/17 100%
";"22 599
";"22 599
";0
"11.5";;"Ministerstwo Sportu i Turystyki
";40;"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Stosunek pracowników przygotowanych do wykonywania zadań obronnych do wszystkich, którzy powinni być przygotowani
";"85%
";"100%
";5;5;0
"11.5";;"Ministerstwo Środowiska
";41;"Utrzymanie zdolności struktur administracyjno- gospdarczych kraju do realizacji zadań obronnych
";"Liczba zrealizowanych zadań
";6;6;436;436;0
"11.5";;"Ministerstwo Spraw
Zagranicznych
";45;"Utrzymywanie zdolności realizacji zadań obronnych przez organy administracji publicznej
";"Procent realizacji zadań rocznych określonych w Programie Pozamilitarnych Przygotowań Obronnych (PPPO) (w %)
";"100%
";"100%
";620;620;0
"11.5";;"Ministerstwo Zdrowia
";46;"Zabezpieczenie rezerw państwowych w zakresie ochrony zdrowia dla Sił Zbrojnych RP na wypadek zagroŜenia bezpieczeństwa i w czasie wojny
";"%  zabezpieczenia w stosunku do zapotrzebowania
";"100%
";"100%
";"11 530
";"11 530
";0
"11.5";;"Urząd Ochrony Konkurencji i
Konsumentów
";53;"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Odsetek przeszkolonych osób do liczby osób zatrudnionych w Urzędzie planowanych do zatrudnienia
";0;"100%
";4;4;0
"11.5";;"Centralne Biuro Antykorupcyjne
";56;"X
";"X
";"x
";"x
";10;10;0
"11.5";;"Agencja Bezpieczeństwa
Wewnętrznego
";57;"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"BieŜące monitorowanie gotowości struktur administracyjno - gospodarczych kraju do obrony państwa - wartość logiczna tak (1)/ nie (0)
";1;1;34;34;0
"11.5";;"Główny Urząd Statystyczny
";58;"Przygotowanie jednostek statystyki publicznej do realizacji zadań w sytuacji zagroŜenia bezpieczeństwa państwa i w czasie wojny
";"Ocena dokonanego zakupu sprzętu pod względem przydatności (wartość logiczna tak(1)/nie(0) )
";"nie mierzono
";1;12;12;0
"11.5";;"Urząd Patentowy RP
";61;"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Stopień realizacji zadań obronnych w danym roku
";"100%
";"100%
";1;1;0
"11.5";;"Ministerstwo Rolnictwa i
Rozwoju Wsi
";62;"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiebiorców
";"Realizacja liczby zadań realizowanych do liczby zadań zaplanowanych
";"100%
";"100%
";15;15;0
"11.5";;"Główny Urząd Miar
";64;"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorstw
";"Relacja liczba zadań zrealizowanych do liczby zadań zaplanowanych w Programie Pozamilitarnych Przygotowań Obronnych (%)
";"100%
";"100%
";2;2;0
"11.5";;"Państwowa Agencja Atomistyki
";68;"Zapewnienie gotowości struktur administracyjno- gospodarczych kraju do obrony państwa
";"Udział kadry kierowniczej w corocznym szkoleniu obronnym w procentach
";"-
";"80%
";5;5;0
"11.5";;"Kasa Rolniczego Ubezpieczenia
Społecznego
";72;"Zapewnienie właściwego przygotowania w realizacji zadań wykonywanych w ramach przygotowań obronnych państwa
";"Liczba osób przeszkolonych
";"60 osób
";"60 osób
";10;10;0
"11.5";;"Urząd Komunikacji
Elektronicznej
";76;"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Skuteczność egzekwowania wykonywania zadań
przez przedsiębiorców w %
";80;100;"2 080
";"2 080
";0
"11.5";;"Wojewodowie
";85;"Zapewnienie niezbędnych zasobów do funkcjonowania województwa w czasie zagroŜenia bezpieczeństwa państwa i wojny
";"Procent realizacji zadań rocznych określonych w Programie Pozamilitarnych Przygotowań Obronnych (PPPO) na lata 2009-2018
";"-
";"82,6%
";"41 726
";"41 726
";0
"11.5.1";"11.5.1. Mobilizacja gospodarki
";"Ministerstwo Gospodarki
";20;"Zdolność przestawienia gospodarki w celu wykorzystania jej potencjału na cele militarne
";"Współczynnik pokrycia kosztów dotacją
(dotacja/ustalone koszty przedsiębiorców) * 100%
";"71%
";"100%
";"88 233
";"88 233
";0
"11.5.1";;"Ministerstwo Obrony Narodowej
";29;"Zdolność przestawienia gospodarki w celu wykorzystania jej potencjału na cele militarne
";"Wskaźnik procentowy zabezpieczenia utrzymania mocy produkcyjnych lub remontowych niezbędnych do realizacji zadań wynikających z PMG
";"79,96%
";"75,00%
";"27 000
";"27 000
";0
"11.5.2";"11.5.2. Pozamilitarne przygotowania obronne
";"Kancelaria Prezesa Rady
Ministrów
";16;"Stopniowe osiąganie określonego wymogami poziomu organizacyjnego i technicznego systemu kierowania bezpieczeństwem
";"Liczba przedłoŜonych sprawozdań z realizacji załoŜonych celów dla MON
";1;1;23;23;0
"11.5.2";;"Ministerstwo Infrastruktury
";18;"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Procent realizacji zadań rocznych określonych w
PPPO na lata 2009-2018 (w %)
";"1/1  100%
";"1/1  100%
";324;324;0
"11.5.2";;"Ministerstwo Gospodarki
";20;"Zapewnienie moŜliwości realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Średnia ze stopnia wykonania zadań określonych w
Programie Pozamilitarnych Przygotowań Obronnych
";"100%
";"100%
";264;264;0
"11.5.2";;"Ministerstwo Infrastruktury
";21;"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Procent realizacji zadań rocznych określonych w
PPPO na lata 2009 - 2018 (w %)
";"7/7  100%
";"6/6  100%
";637;637;0
"11.5.2";;"Ministerstwo Środowiska
";22;"Zapewnienie mozliwości realizacji zadań obronnych przez organy administracji publicznej
";"Liczba zrealizowanych zadań
";16;16;"2 533
";"2 533
";0
"11.5.2";;"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Zapewnienie moŜliwości realizacji zadań obronnych w dziele administracji rządowej kultura i ochrona dziedzictwa narodowego
";"Liczba przeprowadzonych ćwiczeń (szt.)
";30;30;112;112;0
"11.5.2";;"Ministerstwo Sportu i Turystyki
";25;"Zapewnienie moŜliwości realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Stosunek pracowników przygotowanych do wykonywania zadań obronnych do wszystkich, którzy powinni być przygotowani
";"85%
";"100%
";77;77;0
"11.5.2";;"Ministerstwo Infrastruktury
";26;"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Procent realizacji zadań rocznych okreslonych w
PPPO na lata 2009-2018 (w %)
";"6/7   85,71%
";"7/7   100%
";"1 886
";"1 886
";0
"11.5.2";;"Ministerstwo Nauki i Szkolnictwa
WyŜszego
";28;"Realizacja przedsięwzięć rzeczowo-finansowych określonych w PPPO 2009-2019
";"Procent realizacji przedsięwzięć zaplanowanych w
PPPO
";"20%
";"40%
";15;15;0
"11.5.2";;"Ministerstwo Obrony Narodowej
";29;"Zapewnienia moŜliwości realizacji zadań obronnych przez organy adminstracji publicznej i przedsiębiorców
";"Przyjęcie oceny pozamiiitarnych przygotowań
obronnych RP
";"przyjęcie oceny
";"przyjęcie oceny
";"1 170
";"1 170
";0
"11.5.2";;"Ministerstwo Edukacji
Narodowej
";30;"Zapewnienie warunków organizacyjnych i technicznych do planowania i realizacji zadań obronnych w dziale administracji rządowej oświata i wychowanie
";"% wskaźnik liczby zrealizowanych przedsięwzięć rzeczowo-finansowych określonych w Programie Pozamilitarnych Przygotowań Obronnych działu administracji rządowej oświata i wychowanie w latach
2009-2018
";"19%
";"35%
";133;133;0
"11.5.2";;"Ministerstwo Rolnictwa i
Rozwoju Wsi
";32;"Zapewnienie moŜliwości realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Realizacja liczby osób przeszkolonych do liczby osób zaplanowanych
";"100%
";"100%
";140;140;0
"11.5.2";;"Ministerstwo Rolnictwa i
Rozwoju Wsi
";33;"Zapewnienie moŜliwości realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Realizacja liczby osób przeszkolonych do liczby osób zaplanowanych
";"100%
";"100%
";15;15;0
"11.5.2";;"Ministerstwo Rozwoju
Regionalnego
";34;"Zapewnienie moŜliwości realizacji zadań obronnych przez MRR
";"Relacja liczby  zadań zrealizowanych do liczby zadań zaplanowanych w Programie Pozamilitarnych Przygotowań Obronnych (%)
";"100%
";"100%
";259;259;0
"11.5.2";;"Ministerstwo Rolnictwa i
Rozwoju Wsi
";35;"Zapewnienie moŜliwości realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Realizacja liczby osób przeszkolonych do  liczby osób zaplanowanych
";"100%
";"100%
";15;15;0
"11.5.2";;"Ministerstwo Sprawiedliwości
";37;"Utrzymanie zdolności realizacji zadań obronnych przez
Ministerstwo Sprawiedliwości
";"Liczba przeprowadzonych szkoleń
";"-
";6;455;455;0
"11.5.2";;"Ministerstwo Nauki i Szkolnictwa
WyŜszego
";38;"Realizacja przedsięwzięć rzeczowo-finansowych określonych w PPPO 2009- 2018
";"Procent realizacji przedsięwzięć zaplanowanych w
PPPO
";"20%
";"40%
";24;24;0
"11.5.2";;"Ministerstwo Infrastruktury
";39;"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Procent realizacji zadań rocznych określonych w
PPPO na lata 2009-2018 (w %)
";"14/16 87,5%
";"17/17 100%
";"22 599
";"22 599
";0
"11.5.2";;"Ministerstwo Sportu i Turystyki
";40;"Zapewnienie moŜliwości realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Stosunek pracowników przygotowanych do wykonywania zadań obronnych do wszystkich, którzy powinni być przygotowani
";"85%
";"100%
";5;5;0
"11.5.2";;"Ministerstwo Środowiska
";41;"Zapewnienie moŜliwości realizacji zadań obronnych przez organy administracji publicznej
";"Liczba zrealizowanych przedsięwzięć
";6;6;436;436;0
"11.5.2";;"Ministerstwo Spraw
Zagranicznych
";45;"Zapewnienie moŜliwości realizacji zadań obronnych przez organy administracji publicznej
";"Procent realizacji zadań rocznych określonych w Programie Pozamilitarnych Przygotowań Obronnych (PPPO) (w %)
";"100%
";"100%
";620;620;0
"11.5.2";;"Ministerstwo Zdrowia
";46;"Zabezpieczenie rezerw państwowych w zakresie ochrony zdrowia dla Sił Zbrojnych RP na wypadek zagroŜenia bezpieczeństwa i w czasie wojny
";"%  zabezpieczenia w stosunku do zapotrzebowania
";"100%
";"100%
";"11 530
";"11 530
";0
"11.5.2";;"Urząd Ochrony Konkurencji i
Konsumentów
";53;"Przygotowanie Urzędu do działan w sytuacjach kryzysowych
";"Odsetek przeszkolonych osób do liczby osób zatrudnionych w Urzędzie zaplanowanych do przeszkolenia
";0;"100%
";4;4;0
"11.5.2";;"Centralne Biuro Antykorupcyjne
";56;"Realizacja szkoleń obronnych
";"Ilość osób przeszkolonych
";0;12;10;10;0
"11.5.2";;"Agencja Bezpieczeństwa
Wewnętrznego
";57;"Zapewnienie moŜliwości realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców
";"Udział funkcjonariuszy ABW w szkoleniach w ramach programu pozamilitarnych przygotowań obronnych - wartość logicza tak (1)/ nie (0)
";1;1;34;34;0
"11.5.2";;"Główny Urząd Statystyczny
";58;"Przygotowanie jednostek statystyki publicznej do realizacji zadań w sytuacji zagroŜenia bezpieczeństwa państwa i w czasie wojny
";"Ocena dokonanego zakupu sprzętu pod względem przydatności (wartość logiczna tak(1)/nie(0) )
";"nie mierzono
";1;12;12;0
